person_id,salary,to_messages,deferral_payments,total_payments,loan_advances,bonus,restricted_stock_deferred,deferred_income,total_stock_value,expenses,from_poi_to_this_person,exercised_stock_options,from_messages,other,from_this_person_to_poi,poi,long_term_incentive,shared_receipt_with_poi,restricted_stock,director_fees
0,365788.0,807.0,,1061827.0,,600000.0,,,585062.0,94299.0,38.0,,29.0,1740.0,1.0,False,,702.0,585062.0,
1,267102.0,,1295738.0,5634343.0,,1200000.0,,-1386055.0,10623258.0,11200.0,,6680544.0,,2660303.0,,False,1586055.0,,3942714.0,
2,170941.0,,,211725.0,,350000.0,,-400729.0,6678735.0,78552.0,,4890344.0,,12961.0,,False,,,1788391.0,
3,,764.0,,,,,,,1038185.0,,10.0,651850.0,12.0,,0.0,False,,58.0,386335.0,
4,243293.0,1045.0,,288682.0,,1500000.0,,-3117011.0,6391065.0,34039.0,32.0,5538001.0,32.0,11350.0,21.0,True,1617011.0,1035.0,853064.0,
5,267093.0,,,628522.0,,325000.0,,,208510.0,35018.0,,,,1411.0,,False,,,208510.0,
6,,232.0,1848227.0,1848227.0,,,,,955873.0,,0.0,493489.0,28.0,,0.0,False,,22.0,462384.0,
7,370448.0,2355.0,,4099771.0,,2600000.0,,,1662855.0,137108.0,58.0,1104054.0,48.0,297353.0,26.0,False,694862.0,2228.0,558801.0,
8,374125.0,4009.0,2157527.0,3859065.0,,1150000.0,-329825.0,-934484.0,803094.0,76169.0,180.0,608750.0,1941.0,52382.0,61.0,False,983346.0,1847.0,524169.0,
9,197091.0,1238.0,1130036.0,1737629.0,,400000.0,-409554.0,-33333.0,880290.0,43057.0,61.0,880290.0,222.0,778.0,48.0,False,,742.0,409554.0,
10,130724.0,128.0,2964506.0,3100224.0,,,,,2282768.0,4994.0,10.0,2282768.0,17.0,,17.0,False,,119.0,,
11,,,774401.0,774401.0,,,-94556.0,,368705.0,,,,,,,False,,,463261.0,
12,248546.0,2475.0,,2014835.0,,850000.0,,,954354.0,84208.0,25.0,765313.0,14.0,272.0,2.0,False,831809.0,2326.0,189041.0,
13,257486.0,2647.0,,1545059.0,,700000.0,,,698920.0,,37.0,,38.0,111122.0,13.0,False,476451.0,2565.0,698920.0,
14,,169.0,504610.0,966522.0,,,,,2218275.0,,0.0,2218275.0,12.0,,0.0,False,461912.0,23.0,,
15,,,,,,,-153686.0,,372205.0,,,372205.0,,,,False,,,153686.0,
16,288542.0,1758.0,27610.0,1490344.0,,1200000.0,,-144062.0,698242.0,16514.0,240.0,,40.0,101740.0,11.0,True,,1132.0,698242.0,
17,251654.0,136.0,842924.0,3202070.0,,1100000.0,,-719000.0,1416848.0,,12.0,1056320.0,16.0,947.0,0.0,False,1725545.0,114.0,360528.0,
18,288558.0,258.0,,551174.0,,250000.0,,,725735.0,10181.0,25.0,185063.0,56.0,2435.0,19.0,False,,117.0,540672.0,
19,63744.0,,,762135.0,,,,-10800.0,384930.0,51870.0,,,,401130.0,,False,256191.0,,384930.0,
20,,,53625.0,87410.0,,,,,1030329.0,33785.0,,1030329.0,,,,False,,,,
21,357091.0,671.0,,1798780.0,,850000.0,,,5898997.0,50936.0,17.0,4346544.0,146.0,2.0,0.0,False,540751.0,215.0,1552453.0,
22,271442.0,8305.0,,3471141.0,,3100000.0,,,547143.0,5774.0,251.0,81042.0,1728.0,93925.0,194.0,False,,3669.0,466101.0,
23,,,,,,,-32460.0,-98784.0,,,,,,,,False,,,32460.0,98784.0
24,,,-102500.0,102500.0,,,44093.0,,-44093.0,,,3285.0,,,,False,,,,3285.0
25,304110.0,3221.0,,3038702.0,,2000000.0,,,2072035.0,178979.0,94.0,1441898.0,2681.0,1191.0,83.0,False,554422.0,1730.0,630137.0,
26,,,,189583.0,,,,,,,,,,189583.0,,False,,,,
27,187922.0,383.0,,618850.0,,250000.0,,-485813.0,659249.0,59175.0,4.0,,59.0,427316.0,0.0,False,180250.0,233.0,659249.0,
28,,,,228656.0,,,,-36666.0,,228656.0,,,,,,False,,,,36666.0
29,213625.0,1607.0,,2047593.0,,1000000.0,,,1843816.0,38559.0,23.0,1465734.0,40.0,425688.0,8.0,False,369721.0,1336.0,378082.0,
30,249201.0,1328.0,214678.0,1099100.0,,700000.0,,-100000.0,1918887.0,33271.0,35.0,1635238.0,82.0,1950.0,48.0,True,,1258.0,283649.0,
31,,,,,,,,,98718.0,,,98718.0,,,,False,,,,
32,231330.0,7315.0,,969068.0,,700000.0,,,126027.0,37172.0,144.0,,4343.0,566.0,386.0,False,,2639.0,126027.0,
33,,573.0,,475.0,,,,,2217299.0,475.0,4.0,,19.0,,7.0,False,,471.0,2217299.0,
34,182245.0,,,2692324.0,,200000.0,,,1008941.0,21530.0,,601438.0,,53775.0,,False,2234774.0,,407503.0,
35,,,,148.0,,,,-103750.0,,148.0,,,,,,False,,,,103750.0
